pname,pdesc,Upc,Sku,Price,Uom,Pack,pcat,pcat1,pcat2,country,region
CROWN ROYAL RTD - PEACH TEA                                 ,CROWN ROYAL RTD - PEACH TEA,082000796213   ,11458,14.99,12 OZ,1,RTD COCKTAILS            , , , , 
CROWN ROYAL RTD - APPLE                                     ,CROWN ROYAL RTD - APPLE,082000796237   ,11459,14.99,12 OZ,1,RTD COCKTAILS            , , , , 
CROWN ROYAL RTD - WHISKY COLA                               ,CROWN ROYAL RTD - WHISKY COLA,082000796251   ,11460,14.99,12 OZ,1,RTD COCKTAILS            , , , , 
SMIRNOFF - PINK LEMONADE                                    ,SMIRNOFF - PINK LEMONADE,082000797203   ,11461,15.99,750 M,1,VODKA                    , , , , 
SMIRNOFF ICE - PINK LEMONADE                                ,SMIRNOFF ICE - PINK LEMONADE,082000797227   ,11462,11.69,11.2 ,1,MALT BEVERAGE            , , , , 
BULLEIT - OLD FASHIONED                                     ,BULLEIT - OLD FASHIONED,082000797319   ,11464,34.99,750 M,1,RTD COCKTAILS            , , , , 
BULLEIT - MANHATTAN                                         ,BULLEIT - MANHATTAN,082000797357   ,11465,19.97,750 M,1,RTD COCKTAILS            , , , , 
CAPTAIN MORGAN RTD - MAI TAI                                ,CAPTAIN MORGAN RTD - MAI TAI,082000797432   ,11466,19.99,1.75 ,1,PRE MIXED DRINKS         , , , , 
CAPTAIN MORGAN RTD - TROPICAL PUNCH                         ,CAPTAIN MORGAN RTD - TROPICAL PUNCH,082000797449   ,11467,19.99,1.75 ,1,PRE MIXED DRINKS         , , , , 
O.B. - COPPER TONGUE                                        ,O.B. - COPPER TONGUE,082000797500   ,11468,159.99,750 M,1,BOURBON WHISKEY          , , , , 
SMIRNOFF SELTZER - PINK LEMONADE                            ,SMIRNOFF SELTZER - PINK LEMONADE,082000797623   ,11469,17.39,12 OZ,1,HARD SELTZER             , , , , 
BULLEIT - OLD FASHIONED                                     ,BULLEIT - OLD FASHIONED,082000798330   ,11471,24.99,375 M,1,RTD COCKTAILS            , , , , 
BULLEIT - MANHATTAN                                         ,BULLEIT - MANHATTAN,082000798347   ,11472,24.99,375 M,1,RTD COCKTAILS            , , , , 
SMIRNOFF - PEACH LEMONADE                                   ,SMIRNOFF - PEACH LEMONADE,082000799412   ,11473,10,50 ML,1,NIPS                     , , , , 
SMIRNOFF - PEACH LEMONADE                                   ,SMIRNOFF - PEACH LEMONADE,082000799429   ,11474,15.99,750 M,1,VODKA                    , , , , 
SMIRNOFF                                                    ,SMIRNOFF,08200802       ,11475,5.99,200 M,1,HALF PINTS               , , , , 
SMIRNOFF 100P                                               ,SMIRNOFF 100P,08201209       ,11476,6.99,200 M,1,HALF PINTS               , , , , 
WARSTEINER                                                  ,WARSTEINER,082054104514   ,11477,11.99,12 OZ,1,IMPORTED                 , , , , 
J ROGET - BRUT                                              ,J ROGET - BRUT,08209618       ,11478,7.99,750 M,1,DOMESTIC                 , , , , 
ARBOR MIST - CHARD PEACH                                    ,ARBOR MIST - CHARD PEACH,082100179053   ,11479,8.99,1.5 L,1,FAMILY WINE              , , , , 
ARBOR MIST - EX W ZIN                                       ,ARBOR MIST - EX W ZIN,082100179060   ,11480,8.99,1.5 L,1,FAMILY WINE              , , , , 
