StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,TaxLevel,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit
10128,#850006866007   ,6,#14409,750 M,1,BUZZ'D - SKAL                                               ,BUZZ'D - SKAL,29.990,0.0000, , ,0.04000,1, , , , , ,,132,0
10128,#850008649011   ,2,#14413,750 M,1,CINCORO - BLANCO                                            ,CINCORO - BLANCO,69.990,0.0000, , ,0.04000,1, , , , , ,,311.94,0
10128,#850008649059   ,2,#14415,750 M,1,CINCORO - ANEJO                                             ,CINCORO - ANEJO,119.990,0.0000, , ,0.04000,1, , , , , ,,563.94,0
10128,#850010840727   ,8,#14427,750 M,1,GAME DAY VODKA                                              ,GAME DAY VODKA,19.990,0.0000, , ,0.04000,1, , , , , ,,227.92,0
10128,#850010840734   ,15,#14428,1.75 ,1,GAME DAY VODKA                                              ,GAME DAY VODKA,25.990,0.0000, , ,0.04000,1, , , , , ,,149.96,0
10128,#850015640001   ,20,#14437,375 M,1,TEREMANA BLANCO                                             ,TEREMANA BLANCO,19.990,0.0000, , ,0.04000,1, , , , , ,,84.89,0
10128,#850015640025   ,25,#14438,750 M,1,TEREMANA BLANCO                                             ,TEREMANA BLANCO,34.990,0.0000, , ,0.04000,1, , , , , ,,152.19,0
10128,#850015640032   ,27,#14439,750 M,1,TEREMANA REPOSADO                                           ,TEREMANA REPOSADO,36.990,0.0000, , ,0.04000,1, , , , , ,,163.15,0
10128,#850047003041   ,10,#14454,750 M,1,ANGELS ENVY STRAIGHT BOURBON                                ,ANGELS ENVY STRAIGHT BOURBON,59.990,0.0000, , ,0.04000,1,#850047003003   , , , , ,,251.94,0
10128,#850047003065   ,3,#14455,750 M,1,ANGELS ENVY RYE WHISKEY                                     ,ANGELS ENVY RYE WHISKEY,89.990,0.0000, , ,0.04000,1, , , , , ,,419.94,0
10128,#850120002374   ,6,#14465,750 M,1,WILLIAM WOLF PEACAN                                         ,WILLIAM WOLF PEACAN,24.990,0.0000, , ,0.04000,1, , , , , ,,112,0
10128,#850346005029   ,1,#14467,750 M,1,BELUGA VODKA                                                ,BELUGA VODKA,35.990,0.0000, , ,0.04000,1, , , , , ,,170,0
10128,#850386001098   ,1,#14468,750 M,1,V ONE VODKA - TRIPLE BERRY                                  ,V ONE VODKA - TRIPLE BERRY,29.990,0.0000, , ,0.04000,1, , , , , ,,149.95,0
10128,#850386001135   ,3,#14469,750 M,1,V ONE VODKA - CUCUMER                                       ,V ONE VODKA - CUCUMER,29.990,0.0000, , ,0.04000,1, , , , , ,,149.95,0
10128,#850424002766   ,0,#14470,750 M,1,REDNECK RIVIERA                                             ,REDNECK RIVIERA,25.990,0.0000, , ,0.04000,1, , , , , ,,100.12,0
10128,#850477005028   ,2,#14471,1.75 ,1,LIQS - MARGARITA                                            ,LIQS - MARGARITA,14.990,0.0000, , ,0.04000,1, , , , , ,,60,0
10128,#850483000611   ,6,#14479,750 M,1,AUCHENTOSHAN - 12 YR OLD                                    ,AUCHENTOSHAN - 12 YR OLD,39.990,0.0000, , ,0.04000,1, , , , , ,,178,0
10128,#850483000796   ,0,#14480,750 M,1,GLEN GARIOCH - 12 YR OLD                                    ,GLEN GARIOCH - 12 YR OLD,69.990,0.0000, , ,0.04000,1, , , , , ,,275.97,0
10128,#850668000818   ,6,#14485,5.0 O,1,DEEP RIVER - ORIGINAL                                       ,DEEP RIVER - ORIGINAL,3.690,0.0000, , ,0.04000,3, , , , , ,,27.5,0
10128,#850668000825   ,2,#14486,5.0 O,1,DEEP RIVER - SALT & PEPPER                                  ,DEEP RIVER - SALT & PEPPER,3.790,0.0000, , ,0.04000,3, , , , , ,,27.5,0
10128,#850668000849   ,5,#14488,5.0 O,1,DEEP RIVER - JALAPENO                                       ,DEEP RIVER - JALAPENO,3.790,0.0000, , ,0.04000,3, , , , , ,,27.5,0
10128,#850668000856   ,9,#14489,5.0 O,1,DEEP RIVER - SWEET MAUI ONION                               ,DEEP RIVER - SWEET MAUI ONION,3.690,0.0000, , ,0.04000,3, , , , , ,,27.5,0
10128,#850832004260   ,47,#14495,750 M,1,BREAD & BUTTER - CHARDONNAY                                 ,BREAD & BUTTER - CHARDONNAY,14.990,0.0000, , ,0.04000,1, , , , , ,,136,0
10128,#850832004277   ,28,#14496,750 M,1,BREAD & BUTTER - PINOT NOIR                                 ,BREAD & BUTTER - PINOT NOIR,14.990,0.0000, , ,0.04000,1, , , , , ,,135.02,0
