StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit,Discountable
10128,#810054111559   ,16,#15999,12 OZ,1,BESIDES BY ML - LIME POMEGRANATE RUM EAIQUIRI               ,BESIDES BY ML - LIME POMEGRANATE RUM EAIQUIRI,12.99,0.0000, , ,0.0625, , , , , ,,54,1.20,0
10128,#671716259220   ,0,#16000,16 OZ,1,KETTLEHEAD - PULPY                                          ,KETTLEHEAD - PULPY,21.99,0.0000, , ,0.0625, , , , , ,,83,1.20,1
10128,#680270852372   ,0,#16001,16 OZ,1,WIDOWMAKER - INTERSTELLAR SKYLIGHT                          ,WIDOWMAKER - INTERSTELLAR SKYLIGHT,24.79,0.0000, , ,0.0625, , , , , ,,89,1.20,1
10128,#087692015451   ,48,#16002,12 OZ,1,TRULY - WILD BERRY                                          ,TRULY - WILD BERRY,16.99,0.0000, , ,0.0625, , , , , ,,28.88,1.20,0
10128,#080480987183   ,4,#16005,750 M,1,DEWARS 8 YEAR - JAPANESE SOOMTH                             ,DEWARS 8 YEAR - JAPANESE SOOMTH,24.99,0.0000, , ,0.0625, , , , , ,,103.46,0,0
10128,#088076189041   ,2,#16006,750 M,1,CASAMIGOS - CRISTALINO REPOSADO                             ,CASAMIGOS - CRISTALINO REPOSADO,64.97,0.0000, , ,0.0625, , , , , ,,0.87,0,0
10128,#071537020458   ,10,#16007,1 LT ,1,POLAR SELTZER - POMEGRANATE                                 ,POLAR SELTZER - POMEGRANATE,1.95,0.0000, , ,0.0625, , , , , ,,11.25,0.60,0
10128,#810879020784   ,12,#16008,750 M,1,MIJA SANGRIA - WHITE                                        ,MIJA SANGRIA - WHITE,8.97,0.0000, , ,0.0625, , , , , ,,72,0,0
10128,#086785170367   ,10,#16010,750 M,1,YEALANDS - LIGHTER SAUV BLANC                               ,YEALANDS - LIGHTER SAUV BLANC,12.97,0.0000, , ,0.0625, , , , , ,,52,0,0
10128,#850037600045   ,5,#16011,EACH ,1,MORNING RECOVERY - ORANGE                                   ,MORNING RECOVERY - ORANGE,5.99,0.0000, , ,0.0625, , , , , ,,72,0,0
10128,#000004160120   ,0,#16012,12 OZ,1,DOWNEAST - ORANGE CREAMSICLE                                ,DOWNEAST - ORANGE CREAMSICLE,15.99,0.0000, , ,0.0625,#858612003557   , , , , ,,54.6,1.20,0
10128,#080686026013   ,12,#16013,750 M,1,CLERMONT STEEP AMERICAN SINGLE MALT WHISKEY                 ,CLERMONT STEEP AMERICAN SINGLE MALT WHISKEY,59.99,0.0000, , ,0.0625, , , , , ,,251.98,0,0
10128,#080686004967   ,0,#16014,750ml,1,OTR - EFFEN - ESPRESSO MARTINI                              ,OTR - EFFEN - ESPRESSO MARTINI,24.99,0.0000, , ,0.0625, , , , , ,,104.94,0,0
10128,#850010619606   ,24,#16015,12 OZ,1,CANTEEN GIN SPRITZ  VARIETY PACK                            ,CANTEEN GIN SPRITZ  VARIETY PACK,19.99,0.0000, , ,0.0625, , , , , ,,45.99,0,0
10128,#670822140446   ,40,#16016,12 OZ,1,NANTUCKET - LIME TEQUILA SODA                               ,NANTUCKET - LIME TEQUILA SODA,9.97,0.0000, , ,0.0625, , , , , ,,42,0,0
10128,#670822140644   ,44,#16017,12 OZ,1,NANTUCKET - RISE RUM                                        ,NANTUCKET - RISE RUM,11.97,0.0000, , ,0.0625, , , , , ,,52,0,0
10128,#670822140545   ,44,#16019,12 OZ,1,NANTUCKET - RUBY GRAPEFRUIT                                 ,NANTUCKET - RUBY GRAPEFRUIT,9.97,0.0000, , ,0.0625, , , , , ,,42,0,0
10128,#670822148121   ,24,#16020,12 OZ,1,NANTUCKET - VODKA SODA VARIETY                              ,NANTUCKET - VODKA SODA VARIETY,17.97,0.0000, , ,0.0625, , , , , ,,45,0,0
10128,#000004160212   ,16,#16021,7 OZ ,24,SUPER BOCK MINI                                             ,SUPER BOCK MINI,28.79,0.0000, , ,0.0625,#739949114126   , , , , ,,26,1.20,0
10128,#016000193833   ,1,#16022,2 oz ,1,OLD EL PASO - FIESTA TWIST - QUESO                          ,OLD EL PASO - FIESTA TWIST - QUESO,2.99,0.0000, , ,0.0625, , , , , ,,10.24,0,0
10128,#840045207664   ,5,#16024,PK   ,1,ROGUE TOBACCO POUCHES - 6MG                                 ,ROGUE TOBACCO POUCHES - 6MG,25,0.0000, , ,0.0625,#840045207657   , , , , ,,15.2,0,0
10128,#840045207725   ,5,#16025,PK   ,1,ROGUE ORIGINAL - 6MG                                        ,ROGUE ORIGINAL - 6MG,25,0.0000, , ,0.0625,#840045207718   , , , , ,,15.2,0,0
